Time,Col2,Col3,Position,Col5
1.224001,,,,-0.00012298454069624703
1.232001,,,,-0.00012298454069624703
1.240001,,,,-0.00012298454069624703
1.248001,,,,-0.0001290685243456675
1.256001,,,,-0.0001290685243456675
1.264001,,,,-0.00012298454069624703
1.272001,,,,-0.00012298454069624703
1.280001,,,,-0.00012298454069624703
1.288001,,,,-0.00012298454069624703
1.296001,,,,-0.00012298454069624703
1.304001,,,,-0.00012298454069624703
1.312001,,,,-0.00012298454069624703
1.320001,,,,-0.00012298454069624703
1.328001,,,,-0.00012298454069624703
1.336001,,,,-0.00012298454069624703
1.344001,,,,-0.00012298454069624703
1.352001,,,,-0.00012298454069624703
1.360001,,,,-0.00012298454069624703
1.368001,,,,-0.00012298454069624703
1.376001,,,,-0.00012298454069624703
1.384001,,,,-0.00012298454069624703
